ds,Niederschlag,Sonne_h,Temperatur_max,SoFe_SH,HeFe_SH,WiFe_SH,Kieler_Woche,karfreitag,ostermontag,himmelfahrt,pfingstmontag,tag_der_arbeit,einheitstag,heilig_abend,weihnachten,silvester,neujahr,day_before_irregular_holiday
2015-05-28,"4,3",3,"15,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-29,"3,4","6,4","16,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-30,"0,8","7,5","13,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,"3,7","1,5","17,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,"2,2",0,"15,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,"0,6","1,3","17,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-03,0,"5,35","16,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-04,0,"15,6","17,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-05,"0,9","13,383","25,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-06,0,"9,317","21,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-07,0,"12,9","18,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,0,"6,7","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,0,"9,583","17,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-10,0,"16,333","19,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-11,0,"15,95","17,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-12,0,"16,217","21,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-13,"3,7","3,417","25,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-14,0,"0,6","16,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-15,0,"4,583","15,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,0,"3,267","15,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-17,"4,7","3,367","17,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-18,"1,3","1,75","15,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-19,"0,7","1,5","16,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,0,"8,3","18,3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-21,"14,4","2,167","18,1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-22,"1,8","4,967","17,3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,"0,4","7,733","19,6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-24,"0,1","0,217","14,2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-25,0,"4,067","20,5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-26,"0,1","5,15","20,5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-27,"0,1","1,967","21,5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-28,"2,6","11,5","22,2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-29,0,"11,483","22,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,0,"14,067","21,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0,"16,517","24,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-02,0,"16,367","29,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-03,0,"13,033","27,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-04,"0,2","13,017","28,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-05,"15,9","4,2","27,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-06,0,"12,133","21,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,"2,4","8,35","26,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-08,4,"6,267","19,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-09,"0,1","6,083","16,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-10,0,"11,133","18,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-11,0,"7,483","20,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-12,"0,3","0,25","21,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-13,0,"2,933","21,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,0,"6,733","21,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-15,"3,9","11,383","22,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,0,"6,817","21,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-17,"1,8","12,15","26,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,0,"11,283","23,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,"2,3",0,"15,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-20,"0,8","7,7","20,5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,"1,2","9,95","22,6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-22,0,"9,4","25,7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-23,0,"6,25",21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-24,"21,6","6,233","21,4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-25,"8,9","1,8","24,2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-26,"0,7","7,767","18,9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
